place_name,place_country,place_population,place_year
Amsterdam,Netherlands,252,2001
Barcelona,Spain,663,2001
Berlin,Germany,589,2001
Budapest,Hungary,205,2001
Copenhagen,Denmark,303,2001
Dublin,Ireland,671,2001
Edinburgh,UK,521,2001
Helsinki,Finland,347,2001
Lisbon,Portugal,529,2001
Ljubljana,Slovenia,570,2001
London,UK,853,2001
Oslo,Norway,716,2001
Paris,France,733,2001
Prague,Czechia,978,2001
Metropolitan City of Rome,Italy,630,2001
Stockholm,Sweden,567,2001
Vienna,Austria,603,2001
Warsaw,Poland,255,2001
Zurich,Switzerland,244,2001
Amsterdam,Netherlands,429,2002
Barcelona,Spain,604,2002
Berlin,Germany,418,2002
Budapest,Hungary,927,2002
Copenhagen,Denmark,397,2002
Dublin,Ireland,922,2002
Edinburgh,UK,672,2002
Helsinki,Finland,258,2002
Lisbon,Portugal,920,2002
Ljubljana,Slovenia,498,2002
London,UK,894,2002
Oslo,Norway,504,2002
Paris,France,729,2002
Prague,Czechia,345,2002
Metropolitan City of Rome,Italy,709,2002
Stockholm,Sweden,731,2002
Vienna,Austria,632,2002
Warsaw,Poland,361,2002
Zurich,Switzerland,391,2002
Amsterdam,Netherlands,882,2003
Barcelona,Spain,460,2003
Berlin,Germany,423,2003
Budapest,Hungary,669,2003
Copenhagen,Denmark,990,2003
Dublin,Ireland,896,2003
Edinburgh,UK,545,2003
Helsinki,Finland,212,2003
Lisbon,Portugal,262,2003
Ljubljana,Slovenia,466,2003
London,UK,358,2003
Oslo,Norway,947,2003
Paris,France,248,2003
Prague,Czechia,279,2003
Metropolitan City of Rome,Italy,570,2003
Stockholm,Sweden,469,2003
Vienna,Austria,314,2003
Warsaw,Poland,646,2003
Zurich,Switzerland,844,2003
Amsterdam,Netherlands,977,2004
Barcelona,Spain,791,2004
Berlin,Germany,354,2004
Budapest,Hungary,846,2004
Copenhagen,Denmark,559,2004
Dublin,Ireland,744,2004
Edinburgh,UK,490,2004
Helsinki,Finland,722,2004
Lisbon,Portugal,201,2004
Ljubljana,Slovenia,317,2004
London,UK,969,2004
Oslo,Norway,970,2004
Paris,France,949,2004
Prague,Czechia,741,2004
Metropolitan City of Rome,Italy,236,2004
Stockholm,Sweden,563,2004
Vienna,Austria,312,2004
Warsaw,Poland,812,2004
Zurich,Switzerland,644,2004
